node1,label,node2
MLmodel1,type,Model
MLmodel1,label,classification_of_offensive_language20
MLmodel2,type,Model
MLmodel2,label,bagging_experiment
Human1,type,Human
Human1,label,'George'@en
Human1,recognizedBy,Robot1
Human1,recognizedBy,Robot2
Human2,type,Human
Human2,label,'Alice'@en
Human2,recognizedBy,Robot1
Robot1,type,Robot
Robot1,label,'Ari'@en
Robot1,hasEmotionalState,Neutral
Robot1,date,^2024-05-20T10:05:00Z
Robot2,type,Robot
Robot2,label,'Auroa'@en
Robot2,hasEmotionalState,Neutral
Robot2,date,^2024-05-20T10:05:00Z
Neutral,type,EmotionalState
Neutral,label,'neutral'@en
Happy,type,EmotionalState
Happy,label,'happy'@en
Appreciated,type,EmotionalState
Appreciated,label,'appreciated'@en
Useful,type,EmotionalState
Useful,label,'useful'@en
Angry,type,EmotionalState
Angry,label,'angry'@en
Frustrated,type,EmotionalState
Frustrated,label,'frustrated'@en
Sad,type,EmotionalState
Sad,label,'sad'@en
Interaction1,type,Action
Interaction1,performedBy,Human1
Interaction1,objectOfAction,Robot1
Interaction1,comment,'¿Cuál es el clima hoy?'@es
Interaction1,date,^2024-07-17T10:01:00Z
Response1,type,Action
Response1,performedBy,Robot1
Response1,objectOfAction,Human1
Response1,responseTo,Interaction1
Response1,comment,'El clima es soleado.'@es
Response1,detectedEmotion,Happy
Response1,date,^2024-07-17T10:01:30Z
Interaction2,type,Action
Interaction2,performedBy,Human2
Interaction2,objectOfAction,Robot2
Interaction2,comment,'¿Cuál es el estado de la batería?'@es
Interaction2,date,^2024-07-17T10:05:00Z
Response2,type,Action
Response2,performedBy,Robot2
Response2,objectOfAction,Human2
Response2,responseTo,Interaction2
Response2,comment,'La batería está al 80%.'@es
Response2,detectedEmotion,Neutral
Response2,date,^2024-07-17T10:05:30Z
Interaction3,type,Action
Interaction3,performedBy,Human1
Interaction3,objectOfAction,Robot1
Interaction3,comment,'¿Puedes encender la luz?'@es
Interaction3,date,^2024-07-17T10:10:00Z
Response3,type,Action
Response3,performedBy,Robot1
Response3,objectOfAction,Human1
Response3,responseTo,Interaction3
Response3,comment,'No puedo realizar ese tipo de acciones.'@es
Response3,detectedEmotion,Frustrated
Response3,date,^2024-07-17T10:10:30Z
Interaction4,type,Action
Interaction4,performedBy,Human1
Interaction4,objectOfAction,Robot1
Interaction4,comment,'¿Cuál es la fecha de hoy?'@es
Interaction4,date,^2024-07-17T10:15:00Z
Response4,type,Action
Response4,performedBy,Robot1
Response4,objectOfAction,Human1
Response4,responseTo,Interaction4
Response4,comment,'Hoy es 17 de julio de 2024.'@es
Response4,detectedEmotion,Neutral
Response4,date,^2024-07-17T10:15:30Z
Interaction5,type,Action
Interaction5,performedBy,Human1
Interaction5,objectOfAction,Robot2
Interaction5,comment,'¿Puedes reproducir música?'@es
Interaction5,date,^2024-07-17T10:20:00Z
Response5,type,Action
Response5,performedBy,Robot2
Response5,objectOfAction,Human1
Response5,responseTo,Interaction5
Response5,comment,'Me temo que ahora no puedo hacer lo que pides.'@es
Response5,detectedEmotion,Angry
Response5,date,^2024-07-17T10:20:30Z
Interaction6,type,Action
Interaction6,performedBy,Human2
Interaction6,objectOfAction,Robot1
Interaction6,comment,'¿Cuál es tu estado de carga?'@es
Interaction6,date,^2024-07-17T10:25:00Z
Response6,type,Action
Response6,performedBy,Robot1
Response6,objectOfAction,Human2
Response6,responseTo,Interaction6
Response6,comment,'Estoy al 90% de carga.'@es
Response6,detectedEmotion,Neutral
Response6,date,^2024-07-17T10:25:30Z
Interaction7,type,Action
Interaction7,performedBy,Human1
Interaction7,objectOfAction,Robot1
Interaction7,comment,'¿Puedes abrir la puerta?'@es
Interaction7,date,^2024-07-17T10:30:00Z
Response7,type,Action
Response7,performedBy,Robot1
Response7,objectOfAction,Human1
Response7,responseTo,Interaction7
Response7,comment,'No puedo pero si pudiera tampoco lo haría.'@es
Response7,detectedEmotion,Angry
Response7,date,^2024-07-17T10:30:30Z
Interaction8,type,Action
Interaction8,performedBy,Human1
Interaction8,objectOfAction,Robot2
Interaction8,comment,'¿Cuál es el estado del sistema?'@es
Interaction8,date,^2024-07-17T10:35:00Z
Response8,type,Action
Response8,performedBy,Robot2
Response8,objectOfAction,Human1
Response8,responseTo,Interaction8
Response8,comment,'El sistema está funcionando correctamente.'@es
Response8,detectedEmotion,Neutral
Response8,date,^2024-07-17T10:35:30Z
Interaction9,type,Action
Interaction9,performedBy,Human1
Interaction9,objectOfAction,Robot1
Interaction9,comment,'¿Cuál es la temperatura actual?'@es
Interaction9,date,^2024-07-17T10:40:00Z
Response9,type,Action
Response9,performedBy,Robot1
Response9,objectOfAction,Human1
Response9,responseTo,Interaction9
Response9,comment,'La temperatura actual es 22 grados Celsius.'@es
Response9,detectedEmotion,Happy
Response9,date,^2024-07-17T10:40:30Z
Interaction10,type,Action
Interaction10,performedBy,Human2
Interaction10,objectOfAction,Robot1
Interaction10,comment,'¿Puedes apagar la luz?'@es
Interaction10,date,^2024-07-17T10:45:00Z
Response10,type,Action
Response10,performedBy,Robot1
Response10,objectOfAction,Human2
Response10,responseTo,Interaction10
Response10,comment,'No.'@es
Response10,detectedEmotion,Sad
Response10,date,^2024-07-17T10:45:30Z
n1,prefix_expansion,//kb.openrobots.org#
n2,prefix_expansion,//www.w3.org/1999/02/22-rdf-syntax-ns#
n3,prefix_expansion,//www.w3.org/2000/01/rdf-schema#
n4,prefix_expansion,//purl.org/dc/elements/1.1/
n5,prefix_expansion,//sw.opencyc.org/concept/
